Date,Rank,Coin,Symbol,Market Cap,Price,Circulating Supply,Volume,%1h,%24h,%7d
2013-April-28,1,BTCBitcoin,BTC,$1.49B$1488566972,$134.21 ,11091325 BTC,,0.64%,0.00%,0.00%
2013-April-28,2,LTCLitecoin,LTC,$74.64M$74637022,$4.35 ,17164230 LTC,,0.80%,0.00%,0.00%
2013-April-28,3,PPCPeercoin,PPC,$7.25M$7250187,$0.39 ,18757362 PPC,,-0.93%,0.00%,0.00%
2013-April-28,4,NMCNamecoin,NMC,$6.00M$5995997,$1.11 ,5415300 NMC,,-0.05%,0.00%,0.00%
2013-April-28,5,TRCTerracoin,TRC,$1.50M$1503099,$0.65 ,2323570 TRC,,0.61%,0.00%,0.00%
2013-April-28,6,DVCDevcoin,DVC,$1.42M$1424087,$0.00 ,4366620160 DVC,,0.46%,0.00%,0.00%
2013-April-28,7,NVCNovacoin,NVC,$1.16M$1162266,$4.25 ,273706 NVC,,2.14%,0.00%,0.00%
2013-May-5,1,BTCBitcoin,BTC,$1.29B$1288693216,$115.91 ,11118050 BTC,,0.43%,2.97%,-13.81%
2013-May-5,2,LTCLitecoin,LTC,$62.30M$62298217,$3.59 ,17348954 LTC,,0.10%,2.87%,-16.72%
2013-May-5,3,NMCNamecoin,NMC,$6.29M$6290543,$1.15 ,5465350 NMC,,-1.19%,8.91%,1.64%
2013-May-5,4,PPCPeercoin,PPC,$5.72M$5718446,$0.30 ,18830240 PPC,,0.31%,2.61%,-22.20%
2013-May-5,5,FTCFeathercoin,FTC,$2.02M$2017436,$0.31 ,6444650 FTC,,-12.81%,-29.71%,0.00%
2013-May-5,6,FRCFreicoin,FRC,$1.63M$1627439,$0.08 ,20057908 FRC,,-14.89%,-23.15%,0.00%
2013-May-5,7,TRCTerracoin,TRC,$1.37M$1367162,$0.57 ,2407150 TRC,,1.13%,-3.05%,-12.34%
2013-May-5,8,DVCDevcoin,DVC,$1.05M$1052082,$0.00 ,4406170112 DVC,,0.63%,-12.41%,-27.21%
2013-May-5,9,NVCNovacoin,NVC,$1.02M$1015804,$3.69 ,275503 NVC,,1.26%,5.17%,-11.72%
2013-May-5,10,MNCMincoin,MNC,$118657.23$118657,$0.12 ,1023701 MNC,,0.31%,-60.48%,0.00%
2013-May-12,1,BTCBitcoin,BTC,$1.28B$1281982625,$115.00 ,11147675 BTC,,-0.03%,-0.41%,-1.88%
2013-May-12,2,LTCLitecoin,LTC,$57.51M$57513319,$3.27 ,17591130 LTC,,0.17%,-2.61%,-9.91%
2013-May-12,3,NMCNamecoin,NMC,$4.67M$4674413,$0.85 ,5522700 NMC,,0.02%,0.61%,-26.82%
2013-May-12,4,PPCPeercoin,PPC,$4.59M$4585556,$0.24 ,18897820 PPC,,-1.20%,-4.88%,-21.46%
2013-May-12,5,NVCNovacoin,NVC,$984531.38$984531,$3.52 ,279685 NVC,,-0.10%,-0.28%,-4.43%
2013-May-12,6,DVCDevcoin,DVC,$983447.61$983448,$0.00 ,4454020096 DVC,,0.58%,3.67%,-8.65%
2013-May-12,7,TRCTerracoin,TRC,$954262.84$954263,$0.38 ,2506930 TRC,,-1.02%,-5.49%,-33.23%
2013-May-12,8,FTCFeathercoin,FTC,$820221.45$820221,$0.13 ,6543450 FTC,,-0.48%,-5.69%,-63.30%
2013-May-12,9,FRCFreicoin,FRC,$748241.76$748242,$0.04 ,20807988 FRC,,0.02%,-20.35%,-59.81%
2013-May-12,10,CNCCHNCoin,CNC,$489370.40$489370,$0.10 ,5065946 CNC,,2.83%,-11.26%,0.00%
2013-May-12,11,MNCMincoin,MNC,$247203.65$247204,$0.24 ,1042987 MNC,,-0.03%,8.04%,90.65%
2013-May-12,12,BQCBBQCoin,BQC,$156410.47$156410,$0.01 ,17001138 BQC,,-2.70%,-15.27%,0.00%
2013-May-12,13,IXCIxcoin,IXC,$147029.97$147030,$0.01 ,12653618 IXC *,,-0.33%,-16.83%,0.00%
2013-May-12,14,BTBBitBar,BTB,$82905.80$82906,$28.86 ,2872 BTB,,13.72%,35.30%,0.00%
2013-May-19,1,BTCBitcoin,BTC,$1.36B$1363205020,$121.99 ,11174725 BTC,,-0.35%,-1.14%,5.70%
2013-May-19,2,LTCLitecoin,LTC,$58.76M$58760675,$3.30 ,17787454 LTC,,-0.80%,-0.19%,0.98%
2013-May-19,3,NMCNamecoin,NMC,$4.79M$4789082,$0.86 ,5584350 NMC,,0.94%,5.72%,0.51%
2013-May-19,4,PPCPeercoin,PPC,$3.93M$3934412,$0.21 ,18971716 PPC,,-1.26%,15.47%,-14.73%
2013-May-19,5,NVCNovacoin,NVC,$1.02M$1020005,$3.62 ,281908 NVC,,-1.48%,-2.24%,1.88%
2013-May-19,6,TRCTerracoin,TRC,$934991.48$934991,$0.36 ,2606970 TRC,,-0.88%,-4.51%,-6.12%
2013-May-19,7,DVCDevcoin,DVC,$906212.77$906213,$0.00 ,4502170112 DVC,,0.08%,3.91%,-8.15%
2013-May-19,8,FTCFeathercoin,FTC,$833818.95$833819,$0.13 ,6572250 FTC,,0.34%,-0.47%,0.72%
2013-May-19,9,FRCFreicoin,FRC,$711435.19$711435,$0.03 ,20827516 FRC,,-0.34%,7.07%,-7.13%
2013-May-19,10,CNCCHNCoin,CNC,$485058.81$485059,$0.10 ,5097714 CNC,,0.76%,-4.04%,-0.39%
2013-May-19,11,MNCMincoin,MNC,$207096.26$207096,$0.20 ,1061031 MNC,,-0.35%,-12.13%,-17.93%
2013-May-19,12,IXCIxcoin,IXC,$154515.88$154516,$0.01 ,12653618 IXC *,,8.43%,20.52%,-0.55%
2013-May-19,13,BTBBitBar,BTB,$128439.08$128439,$42.70 ,3008 BTB,,15.43%,-2.16%,21.68%
2013-May-19,14,BQCBBQCoin,BQC,$123231.29$123231,$0.01 ,17416812 BQC,,-6.78%,-5.29%,-24.13%
2013-May-26,1,BTCBitcoin,BTC,$1.50B$1495292967,$133.48 ,11202375 BTC,,-1.16%,1.74%,9.61%
2013-May-26,2,LTCLitecoin,LTC,$58.46M$58458017,$3.25 ,17993154 LTC,,-0.37%,4.65%,-1.02%
2013-May-26,3,NMCNamecoin,NMC,$5.25M$5251485,$0.93 ,5644600 NMC,,-2.32%,-1.64%,8.05%
2013-May-26,4,PPCPeercoin,PPC,$3.61M$3612499,$0.19 ,19059134 PPC,,-6.42%,-9.94%,-9.29%
2013-May-26,5,NVCNovacoin,NVC,$1.23M$1225595,$4.31 ,284444 NVC,,-2.43%,3.43%,18.24%
2013-May-26,6,DVCDevcoin,DVC,$915607.00$915607,$0.00 ,4542720000 DVC,,-0.82%,1.54%,-1.00%
2013-May-26,7,TRCTerracoin,TRC,$842448.90$842449,$0.31 ,2697190 TRC,,-3.42%,-9.58%,-12.35%
2013-May-26,8,FRCFreicoin,FRC,$687220.00$687220,$0.03 ,21014232 FRC,,-1.19%,5.72%,-5.50%
2013-May-26,9,FTCFeathercoin,FTC,$654331.38$654331,$0.10 ,6624450 FTC,,-2.47%,-5.59%,-21.17%
2013-May-26,10,CNCCHNCoin,CNC,$374915.45$374915,$0.07 ,5106866 CNC,,-2.95%,-1.54%,-22.36%
2013-May-26,11,MNCMincoin,MNC,$130393.11$130393,$0.12 ,1070899 MNC,,-9.23%,11.89%,-37.73%
2013-May-26,12,IXCIxcoin,IXC,$127367.86$127368,$0.01 ,12653618 IXC *,,-1.19%,2.98%,-15.45%
2013-May-26,13,BQCBBQCoin,BQC,$114258.29$114258,$0.01 ,17833240 BQC,,-2.35%,-6.72%,-11.35%
2013-May-26,14,WDCWorldCoin,WDC,$61369.21$61369,$0.03 ,2392562 WDC,,-0.10%,-10.51%,0.00%
2013-May-26,15,BTBBitBar,BTB,$54030.08$54030,$17.36 ,3113 BTB,,-1.19%,-2.67%,-56.63%
2013-June-2,1,BTCBitcoin,BTC,$1.37B$1373839383,$122.29 ,11234075 BTC,,1.00%,-5.23%,-9.13%
2013-June-2,2,LTCLitecoin,LTC,$49.63M$49625739,$2.73 ,18197154 LTC,,0.85%,-3.62%,-16.04%
2013-June-2,3,NMCNamecoin,NMC,$4.04M$4038794,$0.71 ,5694100 NMC,,0.82%,-5.36%,-24.94%
2013-June-2,4,PPCPeercoin,PPC,$2.90M$2899779,$0.15 ,19122498 PPC,,1.39%,-5.69%,-23.08%
2013-June-2,5,NVCNovacoin,NVC,$1.12M$1117980,$3.90 ,286310 NVC,,0.93%,-6.74%,-10.46%
2013-June-2,6,DVCDevcoin,DVC,$674189.93$674190,$0.00 ,4594120192 DVC,,1.00%,-0.73%,-27.32%
2013-June-2,7,TRCTerracoin,TRC,$662838.49$662838,$0.24 ,2779550 TRC,,1.00%,-11.96%,-25.29%
2013-June-2,8,FTCFeathercoin,FTC,$545794.55$545795,$0.08 ,6661250 FTC,,2.08%,-4.83%,-18.23%
2013-June-2,9,FRCFreicoin,FRC,$417750.51$417751,$0.02 ,21086442 FRC,,1.00%,-20.39%,-39.99%
2013-June-2,10,CNCCHNCoin,CNC,$287451.99$287452,$0.06 ,5109858 CNC,,1.00%,-3.95%,-26.10%
2013-June-2,11,IXCIxcoin,IXC,$86656.55$86657,$0.01 ,12653618 IXC *,,1.00%,-8.33%,-33.19%
2013-June-2,12,MNCMincoin,MNC,$78887.29$78887,$0.07 ,1075103 MNC,,1.00%,-0.24%,-42.88%
2013-June-2,13,BQCBBQCoin,BQC,$76751.02$76751,$0.00 ,18244294 BQC,,0.70%,-2.35%,-35.14%
2013-June-2,14,BTBBitBar,BTB,$52295.84$52296,$15.91 ,3287 BTB,,0.97%,-5.23%,-11.04%
2013-June-9,1,BTCBitcoin,BTC,$1.13B$1126642500,$100.00 ,11266425 BTC,,-2.04%,-8.00%,-16.89%
2013-June-9,2,LTCLitecoin,LTC,$43.86M$43858289,$2.38 ,18404654 LTC,,-1.66%,-7.44%,-11.80%
2013-June-9,3,NMCNamecoin,NMC,$3.31M$3311798,$0.58 ,5749650 NMC,,-2.41%,-6.50%,-17.73%
2013-June-9,4,PPCPeercoin,PPC,$2.27M$2267778,$0.12 ,19218458 PPC,,-1.20%,-1.33%,-20.40%
2013-June-9,5,NVCNovacoin,NVC,$953097.98$953098,$3.31 ,288381 NVC,,-1.89%,-6.48%,-14.65%
2013-June-9,6,FTCFeathercoin,FTC,$852774.31$852774,$0.13 ,6768050 FTC,,0.33%,17.16%,59.03%
2013-June-9,7,TRCTerracoin,TRC,$556761.98$556762,$0.20 ,2855190 TRC,,-2.29%,-3.18%,-17.77%
2013-June-9,8,DVCDevcoin,DVC,$538224.93$538225,$0.00 ,4639869952 DVC,,-2.06%,-11.04%,-21.43%
2013-June-9,9,FRCFreicoin,FRC,$344283.64$344284,$0.02 ,21345628 FRC,,-2.06%,-2.76%,-19.99%
2013-June-9,10,CNCCHNCoin,CNC,$260701.49$260701,$0.05 ,5111794 CNC,,-1.28%,-3.96%,-8.39%
2013-June-9,11,BQCBBQCoin,BQC,$98890.42$98890,$0.01 ,18658570 BQC,,-3.87%,-3.45%,27.98%
2013-June-9,12,YACYacoin,YAC,$98315.19$98315,$0.03 ,3255470 YAC,,-4.95%,0.00%,0.00%
2013-June-9,13,DGCDigitalcoin,DGC,$70346.91$70347,$0.04 ,1794564 DGC,,3.10%,0.00%,0.00%
2013-June-9,14,WDCWorldCoin,WDC,$60438.16$60438,$0.01 ,4696050 WDC,,-2.27%,0.00%,0.00%
2013-June-9,15,BTBBitBar,BTB,$45586.21$45586,$13.10 ,3479 BTB,,-2.07%,-9.71%,-16.29%
2013-June-9,16,MNCMincoin,MNC,$44972.33$44972,$0.04 ,1094217 MNC,,-2.06%,-27.57%,-42.74%
2013-June-9,17,MEMMemecoin,MEM,$14865.88$14866,$0.00 ,8668150 MEM,,-0.13%,0.00%,0.00%
2013-June-9,18,AMCAmericanCoin,AMC,$4150.01$4150,$0.00 ,993300 AMC,,-2.57%,0.00%,0.00%
2013-June-9,19,FRKFranko,FRK,$2772.80$2773,$0.15 ,18485 FRK,,-2.59%,0.00%,0.00%
2013-June-9,20,ELCElacoin,ELC,$768.13$768,$0.04 ,21337 ELC,,-18.23%,0.00%,0.00%
2013-June-16,1,BTCBitcoin,BTC,$1.12B$1124306468,$99.51 ,11298425 BTC,,-0.01%,-0.89%,-1.32%
2013-June-16,2,LTCLitecoin,LTC,$39.62M$39617176,$2.13 ,18603854 LTC,,0.84%,1.31%,-10.92%
2013-June-16,3,NMCNamecoin,NMC,$2.31M$2313382,$0.40 ,5855850 NMC,,1.27%,-2.70%,-31.91%
2013-June-16,4,PPCPeercoin,PPC,$2.13M$2131363,$0.11 ,19296016 PPC,,-0.78%,0.16%,-5.51%
2013-June-16,5,NVCNovacoin,NVC,$943738.73$943739,$3.25 ,290648 NVC,,-0.29%,-1.17%,-2.72%
2013-June-16,6,FTCFeathercoin,FTC,$817909.00$817909,$0.11 ,7540700 FTC,,0.39%,-5.68%,-13.05%
2013-June-16,7,TRCTerracoin,TRC,$468510.18$468510,$0.16 ,2924330 TRC,,0.08%,-3.21%,-18.49%
2013-June-16,8,DVCDevcoin,DVC,$411176.50$411177,$0.00 ,4686519808 DVC,,1.33%,-2.48%,-25.48%
2013-June-16,9,FRCFreicoin,FRC,$386099.25$386099,$0.02 ,21554378 FRC,,-0.01%,1.96%,11.03%
2013-June-16,10,CNCCHNCoin,CNC,$216136.99$216137,$0.04 ,5171458 CNC,,-0.01%,-1.85%,-18.66%
2013-June-16,11,BQCBBQCoin,BQC,$83118.07$83118,$0.00 ,19070168 BQC,,7.00%,5.17%,-19.47%
2013-June-16,12,DGCDigitalcoin,DGC,$71553.91$71554,$0.03 ,2395198 DGC,,0.06%,2.39%,-20.51%
2013-June-16,13,YACYacoin,YAC,$70774.48$70774,$0.02 ,3556148 YAC,,-0.65%,-4.87%,-39.70%
2013-June-16,14,WDCWorldCoin,WDC,$56980.47$56980,$0.01 ,6014815 WDC,,-0.01%,-3.74%,0.00%
2013-June-16,15,MNCMincoin,MNC,$37617.32$37617,$0.03 ,1108579 MNC,,-0.01%,-18.87%,-19.08%
2013-June-16,16,BTBBitBar,BTB,$21486.74$21487,$5.97 ,3599 BTB,,-11.12%,-8.50%,-54.80%
2013-June-16,17,GLCGoldCoin,GLC,$19834.44$19834,$0.00 ,13566450 GLC,,-0.67%,23.24%,0.00%
2013-June-16,18,MEMMemecoin,MEM,$8474.66$8475,$0.00 ,10381550 MEM,,-0.33%,15.87%,-49.94%
2013-June-16,19,LKYLuckycoin,LKY,$7949.17$7949,$0.00 ,3164008 LKY,,-0.05%,-3.59%,0.00%
2013-June-16,20,FRKFranko,FRK,$4284.35$4284,$0.19 ,22091 FRK,,16.59%,42.68%,29.36%
2013-June-16,,AmericanCoin,,,,,,,,
2013-June-16,,Junkcoin,,,,,,,,
2013-June-16,,Nibble,,,,,,,,
2013-June-16,,Elacoin,,,,,,,,
2013-June-23,1,BTCBitcoin,BTC,$1.22B$1218626732,$107.60 ,11325525 BTC,,-0.27%,-0.60%,7.69%
2013-June-23,2,LTCLitecoin,LTC,$58.66M$58663952,$3.12 ,18819604 LTC,,-0.59%,2.78%,47.72%
2013-June-23,3,NMCNamecoin,NMC,$3.33M$3329218,$0.56 ,5916000 NMC,,-1.19%,0.81%,39.70%
2013-June-23,4,PPCPeercoin,PPC,$2.36M$2358404,$0.12 ,19396678 PPC,,-0.50%,-2.03%,10.35%
2013-June-23,5,NVCNovacoin,NVC,$1.04M$1042587,$3.50 ,298137 NVC,,-0.55%,0.07%,7.07%
2013-June-23,6,FTCFeathercoin,FTC,$799217.02$799217,$0.10 ,8073550 FTC,,-0.11%,16.47%,-8.82%
2013-June-23,7,TRCTerracoin,TRC,$416782.31$416782,$0.14 ,2979570 TRC,,0.50%,2.07%,-13.00%
2013-June-23,8,DVCDevcoin,DVC,$407340.96$407341,$0.00 ,4732120064 DVC,,-0.27%,-4.26%,-4.30%
2013-June-23,9,FRCFreicoin,FRC,$274484.38$274484,$0.01 ,21801296 FRC,,-0.33%,-24.96%,-29.85%
2013-June-23,10,CNCCHNCoin,CNC,$135261.23$135261,$0.03 ,5237810 CNC,,4.10%,-25.48%,-38.17%
2013-June-23,11,DGCDigitalcoin,DGC,$84169.38$84169,$0.03 ,2985547 DGC,,0.34%,-2.42%,-4.86%
2013-June-23,12,YACYacoin,YAC,$82023.91$82024,$0.02 ,3792557 YAC,,-0.32%,-0.96%,5.92%
2013-June-23,13,BQCBBQCoin,BQC,$79853.09$79853,$0.00 ,19478450 BQC,,-0.23%,-3.86%,-2.58%
2013-June-23,14,IXCIxcoin,IXC,$68433.51$68434,$0.00 ,13826066 IXC *,,-0.20%,0.00%,0.00%
2013-June-23,15,WDCWorldCoin,WDC,$67830.58$67831,$0.01 ,6945743 WDC,,-0.23%,-0.33%,6.40%
2013-June-23,16,BTBBitBar,BTB,$24643.61$24644,$6.56 ,3755 BTB,,-0.23%,-0.60%,3.53%
2013-June-23,17,MNCMincoin,MNC,$24316.38$24316,$0.02 ,1129661 MNC,,-0.33%,-0.59%,-36.82%
2013-June-23,18,GLCGoldCoin,GLC,$18141.18$18141,$0.00 ,15263950 GLC,,-0.41%,13.07%,-20.14%
2013-June-23,19,MEMMemecoin,MEM,$13338.13$13338,$0.00 ,12236950 MEM,,-0.02%,-4.68%,29.75%
2013-June-23,20,BTEBytecoin,BTE,$11370.84$11371,$0.01 ,918850 BTE,,-0.23%,-18.72%,0.00%
2013-June-23,,Luckycoin,,,,,,,,
2013-June-23,,Franko,,,,,,,,
2013-June-23,,Nibble,,,,,,,,
2013-June-23,,AmericanCoin,,,,,,,,
2013-June-23,,Junkcoin,,,,,,,,
2013-June-23,,Elacoin,,,,,,,,
2013-June-30,1,BTCBitcoin,BTC,$1.10B$1096957927,$96.61 ,11354025 BTC,,-0.53%,1.83%,-9.91%
2013-June-30,2,LTCLitecoin,LTC,$56.72M$56721518,$2.98 ,19030604 LTC,,0.08%,7.03%,-3.08%
2013-June-30,3,NMCNamecoin,NMC,$3.00M$2995222,$0.50 ,5973400 NMC,,-1.65%,-1.23%,-11.33%
2013-June-30,4,PPCPeercoin,PPC,$2.37M$2367684,$0.12 ,19449710 PPC,,0.28%,2.64%,-1.36%
2013-June-30,5,NVCNovacoin,NVC,$931437.38$931437,$3.09 ,301181 NVC,,-0.51%,0.75%,-11.35%
2013-June-30,6,FTCFeathercoin,FTC,$694353.94$694354,$0.08 ,8872700 FTC,,0.73%,1.97%,-19.90%
2013-June-30,7,TRCTerracoin,TRC,$395910.40$395910,$0.13 ,3035450 TRC,,-0.27%,3.75%,-5.95%
2013-June-30,8,DVCDevcoin,DVC,$350826.66$350827,$0.00 ,4777920000 DVC,,-0.51%,-1.52%,-13.67%
2013-June-30,9,FRCFreicoin,FRC,$274804.66$274805,$0.01 ,21879664 FRC,,-0.51%,-5.45%,-0.12%
2013-June-30,10,DGCDigitalcoin,DGC,$93810.47$93810,$0.03 ,3582563 DGC,,-0.33%,-1.69%,-6.43%
2013-June-30,11,YACYacoin,YAC,$92500.45$92500,$0.02 ,3956292 YAC,,-3.18%,3.58%,7.18%
2013-June-30,12,BQCBBQCoin,BQC,$76284.42$76284,$0.00 ,19888648 BQC,,-1.26%,-7.03%,0.84%
2013-June-30,13,WDCWorldCoin,WDC,$55160.81$55161,$0.01 ,6945743 WDC,,-0.51%,0.81%,-19.16%
2013-June-30,14,IXCIxcoin,IXC,$51205.23$51205,$0.00 ,13947314 IXC *,,-0.51%,4.88%,-24.12%
2013-June-30,15,CNCCHNCoin,CNC,$45596.16$45596,$0.01 ,5243794 CNC,,-10.46%,0.25%,-64.17%
2013-June-30,16,MNCMincoin,MNC,$42677.67$42678,$0.04 ,1147361 MNC,,-0.51%,14.29%,73.38%
2013-June-30,17,BTBBitBar,BTB,$23567.27$23567,$5.91 ,3986 BTB,,-0.51%,3.88%,-9.61%
2013-June-30,18,LKYLuckycoin,LKY,$12095.08$12095,$0.00 ,4619548 LKY,,-0.51%,2.12%,-6.13%
2013-June-30,19,MEMMemecoin,MEM,$10668.84$10669,$0.00 ,14031450 MEM,,-0.56%,-3.09%,-29.92%
2013-June-30,20,GLCGoldCoin,GLC,$6496.10$6496,$0.00 ,16745950 GLC,,-1.39%,-19.95%,-66.95%
2013-June-30,,Bytecoin,,,,,,,,
2013-June-30,,Franko,,,,,,,,
2013-June-30,,Nibble,,,,,,,,
2013-June-30,,AmericanCoin,,,,,,,,
2013-June-30,,Elacoin,,,,,,,,
2013-June-30,,Junkcoin,,,,,,,,
2013-July-7,1,BTCBitcoin,BTC,$848.84M$848838936,$74.56 ,11384475 BTC,,1.27%,7.20%,-23.21%
2013-July-7,2,LTCLitecoin,LTC,$51.10M$51099941,$2.66 ,19235004 LTC,,1.16%,6.87%,-11.42%
2013-July-7,3,NMCNamecoin,NMC,$2.60M$2598102,$0.44 ,5946293 NMC,,-0.42%,-3.99%,-13.82%
2013-July-7,4,PPCPeercoin,PPC,$2.58M$2582887,$0.13 ,19571310 PPC,,0.99%,-2.24%,7.65%
2013-July-7,5,NVCNovacoin,NVC,$867500.25$867500,$2.84 ,305695 NVC,,0.30%,1.72%,-8.67%
2013-July-7,6,FTCFeathercoin,FTC,$711870.60$711871,$0.08 ,9452950 FTC,,0.12%,3.21%,-2.24%
2013-July-7,7,TRCTerracoin,TRC,$519200.27$519200,$0.17 ,3108670 TRC,,-0.65%,-8.89%,28.08%
2013-July-7,8,DVCDevcoin,DVC,$276948.24$276948,$0.00 ,4823869952 DVC,,1.30%,5.72%,-22.65%
2013-July-7,9,FRCFreicoin,FRC,$223994.42$223994,$0.01 ,22244892 FRC,,-3.68%,24.75%,-20.23%
2013-July-7,10,YACYacoin,YAC,$108880.76$108881,$0.03 ,4232722 YAC,,1.30%,14.64%,7.09%
2013-July-7,11,DGCDigitalcoin,DGC,$90011.67$90012,$0.02 ,4177233 DGC,,7.08%,17.77%,-19.13%
2013-July-7,12,CNCCHNCoin,CNC,$70529.30$70529,$0.01 ,5255146 CNC,,-2.34%,-9.87%,61.55%
2013-July-7,13,BQCBBQCoin,BQC,$65506.03$65506,$0.00 ,20289954 BQC,,1.27%,3.12%,-17.46%
2013-July-7,14,WDCWorldCoin,WDC,$56083.13$56083,$0.01 ,9819541 WDC,,1.27%,6.35%,-28.45%
2013-July-7,15,IXCIxcoin,IXC,$46861.08$46861,$0.00 ,14050802 IXC *,,1.27%,40.63%,-9.50%
2013-July-7,16,MECMegacoin,MEC,$38199.20$38199,$0.00 ,12166250 MEC,,2.60%,0.00%,0.00%
2013-July-7,17,MNCMincoin,MNC,$34857.44$34857,$0.03 ,1165200 MNC,,1.30%,25.61%,-20.04%
2013-July-7,18,PXCPhoenixcoin,PXC,$34584.63$34585,$0.01 ,2917250 PXC,,0.12%,10.99%,0.00%
2013-July-7,19,BTGBitgem,BTG,$25588.54$25589,$1.46 ,17528 BTG,,1.28%,30.68%,0.00%
2013-July-7,20,BTBBitBar,BTB,$15340.53$15341,$3.73 ,4115 BTB,,1.27%,-5.94%,-36.58%
2013-July-7,,Luckycoin,,,,,,,,
2013-July-7,,CraftCoin,,,,,,,,
2013-July-7,,Fastcoin,,,,,,,,
2013-July-7,,GoldCoin,,,,,,,,
2013-July-7,,Bytecoin,,,,,,,,
2013-July-7,,Krugercoin,,,,,,,,
2013-July-7,,AlphaCoin,,,,,,,,
2013-July-7,,Argentum,,,,,,,,
2013-July-7,,Memecoin,,,,,,,,
2013-July-7,,Bottlecaps,,,,,,,,
2013-July-7,,StableCoin,,,,,,,,
2013-July-7,,Hypercoin,,,,,,,,
2013-July-7,,Elacoin,,,,,,,,
2013-July-7,,Nibble,,,,,,,,
2013-July-7,,Franko,,,,,,,,
2013-July-7,,Noirbits,,,,,,,,
2013-July-7,,AmericanCoin,,,,,,,,
2013-July-7,,Doubloons,,,,,,,,
2013-July-7,,EZCoin,,,,,,,,
2013-July-7,,Junkcoin,,,,,,,,
2013-July-14,1,BTCBitcoin,BTC,$1.08B$1080918190,$94.69 ,11415175 BTC,,1.13%,-2.54%,26.85%
2013-July-14,2,LTCLitecoin,LTC,$56.53M$56527626,$2.91 ,19438854 LTC,,-0.83%,1.11%,11.13%
2013-July-14,3,NMCNamecoin,NMC,$3.24M$3241516,$0.54 ,6005693 NMC,,2.86%,-1.36%,24.06%
2013-July-14,4,PPCPeercoin,PPC,$3.14M$3141320,$0.16 ,19629768 PPC,,1.43%,8.77%,22.03%
2013-July-14,5,NVCNovacoin,NVC,$1.23M$1230893,$3.98 ,309426 NVC,,1.21%,-3.64%,41.53%
2013-July-14,6,FTCFeathercoin,FTC,$825730.01$825730,$0.08 ,10023250 FTC,,-0.30%,-4.75%,10.37%
2013-July-14,7,TRCTerracoin,TRC,$497606.33$497606,$0.16 ,3184870 TRC,,2.06%,-3.91%,-8.87%
2013-July-14,8,DVCDevcoin,DVC,$341246.54$341247,$0.00 ,4869969920 DVC,,1.23%,-5.68%,23.14%
2013-July-14,9,DGCDigitalcoin,DGC,$268640.90$268641,$0.06 ,4773045 DGC,,0.14%,-4.72%,167.06%
2013-July-14,10,FRCFreicoin,FRC,$257105.00$257105,$0.01 ,22626586 FRC,,3.81%,-10.03%,9.22%
2013-July-14,11,WDCWorldCoin,WDC,$114748.74$114749,$0.01 ,11116584 WDC,,1.23%,-5.35%,79.92%
2013-July-14,12,XPMPrimecoin,XPM,$112816.35$112816,$0.16 ,722068 XPM,,1.23%,-54.05%,0.00%
2013-July-14,13,YACYacoin,YAC,$98606.29$98606,$0.02 ,4357090 YAC,,1.23%,-0.30%,-9.47%
2013-July-14,14,BQCBBQCoin,BQC,$92091.19$92091,$0.00 ,20692356 BQC,,0.89%,12.17%,37.79%
2013-July-14,15,PXCPhoenixcoin,PXC,$70514.40$70514,$0.02 ,3216050 PXC,,-15.55%,-25.62%,84.88%
2013-July-14,16,MECMegacoin,MEC,$59963.61$59964,$0.00 ,12166250 MEC,,0.12%,-8.56%,53.50%
2013-July-14,17,IXCIxcoin,IXC,$51164.72$51165,$0.00 ,14155922 IXC *,,1.13%,-11.80%,14.97%
2013-July-14,18,CNCCHNCoin,CNC,$49271.49$49271,$0.01 ,5255938 CNC,,1.23%,23.62%,-27.43%
2013-July-14,19,MNCMincoin,MNC,$26893.62$26894,$0.02 ,1182798 MNC,,1.23%,0.44%,-26.00%
2013-July-14,20,LKYLuckycoin,LKY,$21326.13$21326,$0.00 ,5493104 LKY,,3.61%,-3.72%,45.39%
2013-July-14,,Fastcoin,,,,,,,,
2013-July-14,,Bytecoin,,,,,,,,
2013-July-14,,Argentum,,,,,,,,
2013-July-14,,Infinitecoin,,,,,,,,
2013-July-14,,BitBar,,,,,,,,
2013-July-14,,Bitgem,,,,,,,,
2013-July-14,,CraftCoin,,,,,,,,
2013-July-14,,GoldCoin,,,,,,,,
2013-July-14,,Memecoin,,,,,,,,
2013-July-14,,Krugercoin,,,,,,,,
2013-July-14,,Franko,,,,,,,,
2013-July-14,,AlphaCoin,,,,,,,,
2013-July-14,,Nibble,,,,,,,,
2013-July-14,,Bottlecaps,,,,,,,,
2013-July-14,,StableCoin,,,,,,,,
2013-July-14,,Hypercoin,,,,,,,,
2013-July-14,,Elacoin,,,,,,,,
2013-July-14,,Noirbits,,,,,,,,
2013-July-21,1,BTCBitcoin,BTC,$1.04B$1038799170,$90.76 ,11445900 BTC,,0.48%,0.81%,-3.89%
2013-July-21,2,LTCLitecoin,LTC,$57.12M$57116054,$2.92 ,19586904 LTC,,0.88%,0.85%,0.98%
2013-July-21,3,NMCNamecoin,NMC,$2.96M$2962846,$0.49 ,6067993 NMC,,0.06%,-2.71%,-8.25%
2013-July-21,4,PPCPeercoin,PPC,$2.75M$2753788,$0.14 ,19702806 PPC,,0.48%,-6.31%,-10.69%
