Date,Date_Year,Rank,Symbol,Market Cap,Price,Circulating Supply,Volume,%1h,price_hr_1,%24h,price_hr_24,%7d
2014-01-12,2014,5,OMNI,78912438.0,127.39,619478.0,90428.0,-0.59,126.638399,-3.16,123.364476,-29.44
2014-01-12,2014,6,NMC,50554150.0,6.53,7746643.0,1359698.0,-0.22,6.515634,-5.61,6.163667,-17.0
2014-01-12,2014,7,NXT,40385669.0,0.04,999998016.0,87126.0,-0.03,0.039988,-9.69,0.036124,-36.33
2014-01-12,2014,8,PTS,19503762.0,14.82,1316379.0,38276.0,1.28,15.009696,3.78,15.380196,0.0
2014-01-12,2014,9,QRK,18206130.0,0.07,247227168.0,41505.0,-0.02,0.069986,-7.18,0.064974,-20.03
2014-01-12,2014,10,MEC,17005632.0,0.78,21702024.0,6436.0,0.27,0.7821060000000001,-5.16,0.7397520000000001,-11.24
2014-01-12,2014,11,WDC,16296921.0,0.41,39816980.0,105489.0,-0.34,0.40860599999999997,-7.52,0.37916799999999995,-14.22
2014-01-12,2014,12,XPM,14302361.0,3.58,3992438.0,118767.0,-0.42,3.5649640000000002,-6.63,3.3426460000000002,-19.22
2014-01-12,2014,13,FTC,10222182.0,0.35,29604800.0,224788.0,-2.71,0.34051499999999996,-8.73,0.319445,-20.68
2014-01-12,2014,14,DOGE,9207368.0,0.0,26665762816.0,296158.0,1.92,0.0,-3.94,0.0,24.99
2014-01-12,2014,15,NVC,8597858.0,15.41,557995.0,91973.0,-1.25,15.217375,-6.25,14.446875,-11.63
2014-01-12,2014,16,IFC,6338831.0,0.0,89631285248.0,20715.0,-0.48,0.0,-5.37,0.0,-21.47
2014-01-12,2014,17,DGC,4381842.0,0.36,12263920.0,20111.0,-1.61,0.35420399999999996,0.0,0.36,5.57
2014-01-12,2014,18,ZET,4272266.0,0.03,159652256.0,19012.0,-0.3,0.02991,0.88,0.030264,-20.45
2014-01-12,2014,19,NET,3554238.0,0.02,200849664.0,16464.0,3.02,0.020604,-0.74,0.019852,-25.11
2014-01-12,2014,20,ANC,3286065.0,5.0,657550.0,14496.0,-0.51,4.9745,-2.38,4.881,-17.68
2014-01-19,2014,1,BTC,10699504356.0,870.96,12284725.0,24365672.0,2.11,889.337256,3.78,903.882288,1.02
2014-01-19,2014,2,LTC,636411724.0,25.44,25015454.0,6974646.0,2.1,25.97424,3.89,26.429616000000003,1.0
2014-01-19,2014,3,XRP,163201489.0,0.02,7817889792.0,69842.0,1.83,0.020366000000000002,-1.89,0.019622,-5.2
2014-01-19,2014,4,PPC,125854705.0,5.97,21064304.0,1438295.0,2.93,6.144921,1.97,6.087609,-2.91
2014-01-19,2014,5,OMNI,87810175.0,141.75,619478.0,51070.0,-7.49,131.132925,13.23,160.503525,13.83
2014-01-19,2014,6,NXT,52563202.0,0.05,999998016.0,219645.0,2.65,0.051325,15.44,0.05772,29.61
2014-01-19,2014,7,NMC,49990023.0,6.4,7809043.0,857950.0,1.35,6.486400000000001,5.0,6.720000000000001,-1.68
2014-01-19,2014,8,QRK,26709943.0,0.11,247316480.0,441867.0,9.46,0.120406,55.69,0.171259,48.88
2014-01-19,2014,9,DOGE,22169606.0,0.0,31817773056.0,3509456.0,1.1,0.0,18.84,0.0,108.43
2014-01-19,2014,10,PTS,17466872.0,12.95,1348942.0,21961.0,2.16,13.229719999999999,5.94,13.71923,-10.24
2014-01-19,2014,11,MEC,15193602.0,0.7,21800376.0,10261.0,0.19,0.70133,-4.19,0.67067,-10.69
2014-01-19,2014,12,WDC,14244141.0,0.35,40882236.0,149914.0,0.66,0.35230999999999996,4.16,0.36456,-15.26
2014-01-19,2014,13,XPM,13569457.0,3.32,4089209.0,215803.0,2.0,3.3863999999999996,1.91,3.383412,-6.97
2014-01-19,2014,14,FTC,9798798.0,0.32,30406950.0,72639.0,1.72,0.325504,2.72,0.328704,-7.36
